churn,tenure_months,monthly_charges,total_services,support_calls_last90d,late_payments_12m,downtime_hrs_6m,contract,internet,payment_method,support_tier,promo_status
0,10.0,59.74,2,2,1,4.09,month-to-month,dsl,credit_card,premium,past
0,2.1,52.43,3,2,1,1.14,month-to-month,none,electronic_check,basic,never
0,1.9,74.7,1,2,1,3.19,month-to-month,fiber,credit_card,premium,current
1,37.3,73.67,3,1,1,5.54,month-to-month,fiber,electronic_check,plus,past
1,3.3,81.63,4,2,2,2.87,month-to-month,fiber,electronic_check,basic,current
0,30.4,74.87,4,3,1,1.64,month-to-month,fiber,electronic_check,basic,never
1,14.3,105.59,1,1,0,2.7,month-to-month,fiber,electronic_check,basic,past
0,17.6,52.38,3,2,0,3.24,month-to-month,fiber,bank_transfer,basic,current
0,30.4,78.51,3,1,1,1.31,month-to-month,dsl,electronic_check,premium,past
0,12.5,80.49,1,2,0,4.27,one-year,fiber,electronic_check,plus,never
0,6.1,96.52,3,1,1,2.31,two-year,fiber,bank_transfer,basic,never
0,29.8,59.91,4,4,0,1.24,two-year,dsl,electronic_check,plus,current
0,0.6,52.72,2,1,1,1.98,month-to-month,dsl,bank_transfer,basic,past
0,66.0,49.8,2,2,0,1.37,two-year,none,electronic_check,basic,never
0,72.0,62.4,3,2,1,1.76,one-year,fiber,electronic_check,basic,current
0,8.8,69.56,2,5,0,2.0,month-to-month,fiber,credit_card,basic,never
0,0.4,33.49,3,2,2,2.2,month-to-month,dsl,electronic_check,basic,past
0,6.1,104.18,2,1,0,3.95,month-to-month,dsl,electronic_check,plus,never
0,17.5,67.04,2,2,1,3.85,one-year,fiber,electronic_check,plus,never
0,23.3,42.34,3,1,0,3.52,one-year,dsl,credit_card,plus,past
1,22.7,88.69,1,2,2,3.79,month-to-month,fiber,electronic_check,basic,never
0,30.0,94.5,2,1,2,1.58,month-to-month,fiber,electronic_check,plus,current
0,32.3,74.87,1,2,0,2.17,one-year,fiber,bank_transfer,basic,past
0,10.6,88.47,2,2,1,3.18,one-year,fiber,bank_transfer,plus,current
0,7.2,53.05,1,3,1,1.48,month-to-month,dsl,bank_transfer,plus,never
0,16.1,74.76,3,3,1,1.7,month-to-month,dsl,credit_card,basic,never
0,34.3,47.48,3,1,0,0.47,month-to-month,dsl,electronic_check,basic,past
1,4.7,117.87,2,5,0,3.74,month-to-month,fiber,bank_transfer,basic,past
0,28.5,70.25,2,2,0,1.73,month-to-month,dsl,credit_card,basic,past
0,6.6,89.41,1,3,2,3.93,month-to-month,none,bank_transfer,basic,never
0,3.2,50.72,1,1,1,2.66,one-year,dsl,electronic_check,basic,never
0,29.6,40.94,2,1,1,1.31,month-to-month,dsl,bank_transfer,plus,current
0,27.2,59.16,1,2,0,1.81,two-year,fiber,electronic_check,basic,never
0,14.1,25.68,2,3,0,3.35,month-to-month,fiber,electronic_check,basic,never
1,2.0,43.4,1,3,1,1.4,month-to-month,fiber,electronic_check,basic,past
0,14.8,56.62,2,4,0,1.48,month-to-month,dsl,electronic_check,basic,current
0,16.9,58.66,1,2,0,2.35,two-year,none,electronic_check,basic,never
0,14.9,48.57,4,0,0,1.63,month-to-month,dsl,bank_transfer,premium,current
0,0.2,45.72,3,2,0,1.09,one-year,dsl,electronic_check,basic,never
0,43.8,116.71,3,4,0,3.64,month-to-month,fiber,credit_card,basic,never
0,16.8,81.71,1,1,1,1.36,one-year,none,electronic_check,plus,current
1,8.1,74.54,3,2,0,1.6,month-to-month,dsl,credit_card,basic,past
0,1.8,65.64,3,2,0,1.13,two-year,fiber,electronic_check,basic,never
0,0.3,72.03,2,1,1,1.98,month-to-month,none,electronic_check,premium,current
0,2.1,42.61,1,1,0,1.34,two-year,dsl,electronic_check,plus,never
0,3.9,116.09,2,1,2,4.45,one-year,fiber,electronic_check,basic,current
0,33.6,22.7,2,3,0,3.19,month-to-month,dsl,electronic_check,basic,current
1,35.9,69.42,2,3,1,1.95,month-to-month,fiber,credit_card,basic,past
0,20.9,79.97,2,2,1,2.46,one-year,fiber,bank_transfer,basic,past
0,72.0,103.47,1,2,0,1.25,one-year,fiber,electronic_check,plus,never
1,11.5,117.42,1,1,2,2.93,month-to-month,fiber,bank_transfer,premium,never
0,3.6,51.32,1,4,1,3.22,one-year,dsl,electronic_check,basic,current
0,23.6,94.97,3,2,2,0.6,two-year,fiber,electronic_check,basic,past
0,2.7,78.02,0,4,2,0.68,one-year,none,bank_transfer,basic,never
0,41.0,10.0,2,4,0,3.9,one-year,fiber,electronic_check,basic,past
0,35.2,57.43,3,2,0,2.97,month-to-month,dsl,bank_transfer,basic,past
0,20.5,26.68,2,1,0,1.66,month-to-month,dsl,bank_transfer,basic,past
0,39.2,70.64,1,3,0,0.54,one-year,none,electronic_check,basic,never
0,14.9,77.62,2,4,1,3.15,one-year,fiber,electronic_check,basic,never
0,16.4,42.46,1,1,0,1.94,one-year,none,credit_card,premium,never
0,9.6,74.12,2,2,1,1.28,month-to-month,fiber,bank_transfer,premium,never
0,6.4,92.65,1,1,1,3.91,month-to-month,none,electronic_check,basic,current
0,2.2,64.8,3,2,1,0.0,month-to-month,dsl,electronic_check,basic,current
0,27.0,89.05,2,1,0,3.52,month-to-month,fiber,electronic_check,plus,never
0,5.8,59.81,4,2,1,0.05,two-year,dsl,bank_transfer,basic,past
0,4.5,64.85,2,1,0,3.26,two-year,fiber,electronic_check,plus,never
0,21.7,65.53,3,3,1,0.93,two-year,fiber,electronic_check,basic,never
1,61.5,80.39,1,0,1,1.89,month-to-month,dsl,credit_card,premium,never
0,21.2,30.29,2,1,2,1.19,one-year,dsl,electronic_check,basic,past
0,6.0,85.02,2,2,1,2.25,one-year,dsl,electronic_check,basic,past
0,7.0,62.4,3,4,2,0.54,month-to-month,dsl,electronic_check,basic,past
0,11.9,46.46,2,0,2,2.3,month-to-month,fiber,electronic_check,premium,past
0,23.8,83.43,2,4,0,1.0,month-to-month,dsl,credit_card,plus,past
0,12.5,64.49,0,2,1,2.46,one-year,none,electronic_check,premium,current
0,20.8,35.0,2,4,2,3.5,two-year,fiber,electronic_check,basic,past
0,12.7,56.91,3,3,1,0.47,month-to-month,dsl,electronic_check,basic,current
0,18.4,72.41,1,4,0,1.36,month-to-month,fiber,electronic_check,premium,never
0,8.4,73.32,3,2,2,4.2,month-to-month,fiber,electronic_check,basic,never
0,7.7,86.26,2,0,1,2.17,one-year,dsl,electronic_check,plus,never
0,16.4,85.6,3,5,0,2.86,month-to-month,fiber,credit_card,plus,never
0,22.0,27.75,3,1,0,4.16,month-to-month,fiber,credit_card,basic,past
0,33.2,52.68,1,4,1,2.92,month-to-month,dsl,bank_transfer,basic,past
1,1.9,22.32,3,4,0,0.6,month-to-month,fiber,electronic_check,basic,never
0,6.0,104.37,2,3,0,1.35,month-to-month,fiber,electronic_check,basic,past
0,19.6,17.67,0,1,0,3.28,month-to-month,none,credit_card,plus,past
0,22.5,46.81,1,1,0,1.56,one-year,none,bank_transfer,basic,past
0,34.0,68.96,2,2,1,3.1,month-to-month,none,bank_transfer,basic,current
1,62.4,101.15,3,5,2,2.74,month-to-month,fiber,bank_transfer,basic,never
1,3.3,104.91,2,3,0,3.17,month-to-month,fiber,bank_transfer,basic,past
0,18.8,88.21,3,5,2,2.14,two-year,fiber,electronic_check,basic,never
0,16.3,123.81,3,2,3,2.35,month-to-month,dsl,bank_transfer,plus,past
0,4.2,88.69,1,3,1,2.24,month-to-month,dsl,credit_card,plus,past
0,53.4,69.77,2,4,0,2.75,two-year,none,credit_card,plus,current
0,40.0,85.77,1,2,2,0.0,month-to-month,dsl,electronic_check,basic,past
0,25.1,61.28,2,1,1,0.0,month-to-month,dsl,bank_transfer,plus,past
0,59.0,96.45,3,2,0,1.43,one-year,dsl,electronic_check,basic,current
0,1.0,60.53,2,1,0,1.06,month-to-month,fiber,bank_transfer,premium,current
1,13.3,88.78,1,5,1,2.66,month-to-month,fiber,bank_transfer,basic,past
0,5.1,85.28,2,1,0,3.52,month-to-month,none,electronic_check,basic,never
0,23.3,47.95,1,2,1,3.72,one-year,none,credit_card,basic,past
0,68.4,83.3,3,2,2,1.91,one-year,fiber,electronic_check,basic,past
0,27.4,67.0,1,2,1,4.96,month-to-month,fiber,credit_card,basic,past
0,15.3,108.39,2,4,0,2.89,one-year,dsl,bank_transfer,basic,never
0,47.3,102.21,3,4,0,4.66,two-year,fiber,electronic_check,basic,past
0,0.3,82.29,3,2,0,4.51,month-to-month,fiber,electronic_check,basic,never
0,21.7,102.35,1,2,1,0.89,one-year,dsl,credit_card,basic,never
1,7.6,90.45,3,3,1,2.53,month-to-month,fiber,electronic_check,basic,never
0,3.8,89.14,1,1,0,2.42,one-year,dsl,electronic_check,basic,never
0,6.9,42.32,3,0,0,1.86,month-to-month,dsl,electronic_check,plus,past
0,12.5,102.0,1,4,1,0.8,month-to-month,dsl,bank_transfer,basic,past
0,6.2,75.44,3,1,0,1.84,month-to-month,fiber,credit_card,plus,never
0,34.4,87.56,2,4,1,0.18,one-year,dsl,electronic_check,basic,never
0,12.8,83.59,3,2,2,4.86,month-to-month,dsl,electronic_check,plus,current
0,26.3,52.89,1,3,2,3.93,month-to-month,fiber,electronic_check,plus,past
0,12.2,45.48,2,2,1,1.25,one-year,fiber,electronic_check,basic,past
0,17.1,112.61,3,2,2,2.04,month-to-month,fiber,bank_transfer,basic,current
0,21.3,78.77,3,2,0,2.45,month-to-month,dsl,electronic_check,basic,past
0,30.7,98.23,2,2,0,2.11,month-to-month,dsl,credit_card,plus,never
0,10.5,65.01,1,2,0,4.17,month-to-month,fiber,credit_card,basic,past
0,10.3,74.95,3,0,0,2.55,month-to-month,dsl,electronic_check,plus,current
0,18.5,45.34,2,1,0,1.85,month-to-month,fiber,electronic_check,premium,never
0,22.2,59.36,1,3,0,3.58,month-to-month,fiber,electronic_check,basic,never
0,72.0,95.95,2,2,1,2.37,month-to-month,fiber,bank_transfer,basic,current
0,8.5,88.65,2,2,0,1.65,one-year,fiber,credit_card,basic,never
0,12.7,80.57,3,0,0,2.27,month-to-month,dsl,electronic_check,plus,never
1,16.5,45.33,1,3,1,2.75,month-to-month,dsl,bank_transfer,basic,past
0,6.0,58.09,1,1,0,3.58,month-to-month,none,credit_card,basic,past
0,23.4,56.54,2,1,1,3.77,month-to-month,fiber,electronic_check,basic,past
0,8.4,14.11,0,1,2,1.15,one-year,none,electronic_check,plus,never
0,3.5,55.55,3,1,0,2.99,month-to-month,fiber,electronic_check,basic,never
0,10.1,98.27,3,2,0,0.93,two-year,dsl,electronic_check,basic,current
1,7.7,77.38,3,1,0,2.27,month-to-month,dsl,electronic_check,plus,never
0,39.5,91.09,0,1,2,2.97,month-to-month,none,bank_transfer,plus,past
0,47.3,39.14,1,1,1,1.63,one-year,none,bank_transfer,basic,never
1,8.5,100.61,1,2,1,0.94,month-to-month,fiber,bank_transfer,basic,past
0,9.6,74.56,1,0,1,2.89,month-to-month,fiber,credit_card,premium,past
0,4.6,54.74,2,2,2,0.46,month-to-month,dsl,bank_transfer,plus,current
0,1.8,111.23,3,2,0,2.87,month-to-month,fiber,electronic_check,basic,current
0,4.9,78.24,2,3,0,2.08,two-year,dsl,electronic_check,basic,past
1,5.8,72.28,2,5,0,2.09,month-to-month,fiber,bank_transfer,basic,past
0,38.8,58.15,3,1,0,2.42,month-to-month,dsl,bank_transfer,plus,never
0,18.9,30.54,1,3,0,2.03,month-to-month,fiber,credit_card,basic,past
0,10.7,49.41,2,0,1,3.61,two-year,dsl,electronic_check,plus,past
0,26.7,58.83,4,1,1,2.93,month-to-month,fiber,credit_card,basic,past
0,0.2,71.77,2,3,0,1.85,month-to-month,fiber,bank_transfer,basic,past
0,2.0,52.15,1,2,2,3.23,two-year,none,bank_transfer,basic,never
0,7.8,109.43,3,2,0,2.61,month-to-month,dsl,bank_transfer,basic,past
0,16.3,11.53,2,2,0,3.75,one-year,fiber,bank_transfer,plus,current
0,26.4,89.0,2,1,0,2.25,one-year,dsl,bank_transfer,plus,past
0,21.2,71.87,2,2,1,2.09,two-year,dsl,electronic_check,plus,past
1,3.6,58.56,2,4,2,2.2,month-to-month,dsl,electronic_check,basic,current
0,8.8,66.24,2,2,0,3.79,two-year,fiber,bank_transfer,basic,never
0,2.6,55.95,3,1,0,3.81,month-to-month,fiber,bank_transfer,plus,never
0,32.1,44.19,3,2,0,2.42,one-year,dsl,credit_card,basic,current
1,2.2,70.34,2,0,0,3.96,month-to-month,fiber,electronic_check,plus,past
0,42.3,78.21,3,2,0,2.57,month-to-month,dsl,credit_card,basic,current
0,14.3,96.63,1,1,0,2.14,one-year,dsl,electronic_check,basic,never
0,12.6,46.39,2,4,0,1.59,one-year,fiber,electronic_check,premium,never
0,2.8,44.15,3,4,1,2.56,month-to-month,fiber,bank_transfer,basic,past
0,23.6,110.26,3,4,0,2.36,month-to-month,fiber,credit_card,plus,current
0,65.8,62.36,2,1,2,1.5,one-year,fiber,electronic_check,plus,past
0,1.0,88.95,2,2,1,3.58,month-to-month,dsl,credit_card,premium,never
0,29.3,79.02,3,1,2,3.23,month-to-month,fiber,electronic_check,basic,past
0,13.6,73.71,1,3,1,3.08,month-to-month,fiber,electronic_check,basic,past
0,8.1,52.28,2,1,1,4.0,one-year,fiber,credit_card,plus,current
0,21.9,81.89,2,2,2,2.54,month-to-month,fiber,electronic_check,plus,current
0,9.9,100.35,2,3,1,2.68,month-to-month,fiber,credit_card,basic,past
0,15.5,52.0,2,2,1,0.67,one-year,fiber,bank_transfer,plus,current
1,29.6,96.67,2,1,1,0.9,month-to-month,fiber,credit_card,basic,never
1,12.9,81.88,2,4,1,0.6,month-to-month,fiber,credit_card,plus,never
0,1.1,85.97,2,1,0,3.61,month-to-month,fiber,electronic_check,basic,never
1,38.5,67.96,2,2,1,2.49,month-to-month,fiber,electronic_check,basic,never
1,12.4,65.3,2,2,0,3.33,month-to-month,fiber,electronic_check,basic,never
0,8.8,90.83,2,4,2,1.94,one-year,fiber,electronic_check,basic,past
0,30.1,10.0,3,4,0,3.53,month-to-month,fiber,bank_transfer,basic,never
0,22.9,31.33,3,6,0,1.42,two-year,dsl,electronic_check,plus,current
0,32.0,43.89,2,1,1,2.19,month-to-month,dsl,bank_transfer,basic,never
0,7.9,45.39,2,0,1,2.27,month-to-month,fiber,credit_card,premium,never
0,18.4,137.68,3,1,0,0.6,one-year,fiber,electronic_check,plus,past
0,5.2,101.05,3,4,0,2.05,month-to-month,fiber,bank_transfer,basic,never
0,3.0,72.17,1,0,1,1.19,two-year,none,bank_transfer,premium,past
0,1.9,63.71,3,2,2,3.38,month-to-month,dsl,electronic_check,basic,never
0,26.7,112.81,2,1,1,0.0,month-to-month,dsl,electronic_check,plus,past
0,10.5,19.08,2,1,0,3.84,two-year,dsl,electronic_check,plus,never
1,1.8,66.76,2,4,0,0.6,month-to-month,fiber,bank_transfer,basic,current
0,72.0,46.33,1,1,0,0.91,two-year,fiber,credit_card,basic,current
0,35.3,23.54,2,1,1,1.3,month-to-month,none,credit_card,basic,past
1,24.4,52.47,2,3,1,1.66,month-to-month,dsl,bank_transfer,basic,past
0,49.5,120.02,3,5,0,3.92,month-to-month,fiber,bank_transfer,plus,never
0,41.9,69.29,2,1,0,1.86,two-year,fiber,credit_card,plus,never
0,4.6,102.61,1,2,1,2.23,month-to-month,dsl,electronic_check,basic,past
0,16.0,49.07,3,0,0,1.41,month-to-month,fiber,bank_transfer,premium,past
0,15.4,80.23,2,3,0,1.19,one-year,dsl,electronic_check,basic,never
0,50.2,78.15,1,2,0,0.06,month-to-month,dsl,electronic_check,premium,current
0,4.3,95.64,1,4,0,4.12,month-to-month,dsl,credit_card,basic,never
0,9.7,59.21,3,2,1,3.74,two-year,fiber,bank_transfer,plus,past
1,49.8,43.28,2,5,0,1.19,month-to-month,fiber,bank_transfer,basic,past
0,60.0,51.99,3,4,0,0.0,one-year,dsl,electronic_check,basic,past
1,5.8,70.15,2,1,0,1.66,one-year,fiber,bank_transfer,plus,past
0,5.2,77.68,2,1,0,1.18,two-year,fiber,bank_transfer,basic,never
0,17.1,80.25,2,2,0,1.81,month-to-month,dsl,electronic_check,basic,past
0,4.3,61.22,3,2,1,2.53,month-to-month,fiber,credit_card,basic,never
0,11.2,58.61,1,1,0,1.1,month-to-month,dsl,bank_transfer,plus,never
0,15.1,72.1,3,1,0,3.5,month-to-month,dsl,electronic_check,basic,never
0,72.0,99.94,2,2,1,0.0,one-year,dsl,bank_transfer,plus,never
1,27.4,99.49,1,4,0,2.35,two-year,dsl,electronic_check,basic,past
1,2.0,129.17,3,2,1,3.71,month-to-month,fiber,bank_transfer,basic,past
0,12.7,51.6,1,1,1,1.17,one-year,none,electronic_check,plus,past
0,23.3,86.31,2,1,2,2.3,month-to-month,fiber,electronic_check,premium,never
0,26.3,85.38,2,4,1,3.88,one-year,dsl,credit_card,basic,past
0,5.3,70.58,2,6,1,3.49,month-to-month,fiber,bank_transfer,plus,past
1,20.9,130.11,1,1,0,0.6,month-to-month,fiber,electronic_check,basic,past
1,6.3,78.35,3,3,0,1.8,month-to-month,fiber,electronic_check,basic,never
1,43.4,102.49,3,2,1,2.47,month-to-month,fiber,credit_card,plus,past
0,24.0,55.94,3,1,1,0.2,month-to-month,dsl,credit_card,plus,current
0,15.0,69.84,2,2,1,2.3,two-year,none,credit_card,basic,never
0,3.8,65.92,2,2,1,1.44,month-to-month,none,bank_transfer,basic,past
0,4.5,55.19,2,3,1,1.09,one-year,dsl,credit_card,basic,never
0,21.0,110.49,3,1,3,2.61,month-to-month,dsl,credit_card,basic,past
0,13.0,76.64,1,1,0,4.16,month-to-month,fiber,credit_card,basic,never
0,11.2,47.33,0,2,0,1.87,two-year,none,electronic_check,plus,never
0,6.4,65.57,4,1,0,1.82,one-year,dsl,electronic_check,plus,past
0,21.4,84.63,0,1,3,3.32,one-year,none,bank_transfer,basic,current
0,7.1,42.68,2,5,0,3.48,month-to-month,fiber,electronic_check,basic,past
0,6.9,74.86,3,3,1,3.46,month-to-month,fiber,credit_card,basic,current
0,34.1,110.5,2,2,2,0.48,one-year,dsl,electronic_check,basic,never
0,8.5,52.52,2,2,0,3.59,month-to-month,none,electronic_check,plus,current
0,3.5,20.28,1,2,0,2.71,one-year,fiber,credit_card,basic,past
0,13.1,82.27,2,2,1,1.77,one-year,dsl,bank_transfer,basic,never
0,2.8,66.87,2,3,3,1.45,two-year,fiber,bank_transfer,plus,current
0,2.4,101.72,3,1,0,2.52,month-to-month,fiber,credit_card,plus,never
0,12.9,30.93,2,1,0,1.14,month-to-month,none,electronic_check,premium,current
0,15.5,51.02,2,2,1,4.09,month-to-month,fiber,credit_card,basic,past
0,72.0,74.18,2,3,3,0.6,one-year,fiber,bank_transfer,premium,never
1,3.1,81.35,3,5,3,0.78,month-to-month,fiber,electronic_check,basic,never
0,7.9,79.99,1,5,0,2.14,one-year,none,electronic_check,basic,never
0,37.3,59.76,1,2,0,4.14,one-year,fiber,bank_transfer,basic,past
0,19.7,104.28,2,0,0,1.21,month-to-month,dsl,electronic_check,plus,never
0,27.4,75.85,1,3,0,3.24,one-year,fiber,electronic_check,plus,past
0,64.1,46.6,1,2,0,1.38,month-to-month,none,electronic_check,basic,never
0,6.1,79.83,1,0,0,4.35,one-year,none,electronic_check,plus,current
0,15.6,70.87,2,2,1,1.34,month-to-month,fiber,electronic_check,plus,current
0,36.3,52.35,2,3,0,4.39,two-year,fiber,electronic_check,basic,never
0,1.3,78.72,3,1,0,2.83,month-to-month,fiber,electronic_check,premium,never
0,38.4,60.84,2,2,0,2.24,month-to-month,fiber,bank_transfer,plus,past
1,5.1,107.15,2,2,0,0.6,month-to-month,fiber,electronic_check,basic,never
0,0.1,57.51,2,2,0,3.36,month-to-month,fiber,electronic_check,basic,current
0,6.1,75.65,3,1,0,3.07,month-to-month,fiber,electronic_check,basic,never
0,0.1,60.55,2,2,2,3.76,two-year,fiber,credit_card,plus,past
0,12.7,65.41,3,0,1,2.16,one-year,fiber,credit_card,plus,never
0,1.6,78.88,2,4,1,1.46,month-to-month,dsl,electronic_check,basic,current
0,23.3,57.31,3,2,0,3.0,month-to-month,dsl,credit_card,basic,current
1,4.8,81.98,2,2,1,3.23,two-year,fiber,electronic_check,plus,past
0,65.6,81.18,1,4,2,4.36,month-to-month,none,electronic_check,plus,current
0,7.5,46.31,3,3,0,0.6,month-to-month,fiber,electronic_check,basic,past
0,5.5,113.21,1,5,0,1.53,one-year,fiber,credit_card,basic,never
0,12.5,46.5,1,3,0,4.19,one-year,fiber,electronic_check,basic,never
0,15.8,109.61,3,1,0,1.37,one-year,fiber,bank_transfer,plus,never
1,18.0,52.53,2,3,1,2.42,month-to-month,fiber,credit_card,basic,past
1,28.8,85.7,3,1,2,2.29,month-to-month,fiber,bank_transfer,basic,current
1,43.9,23.58,1,1,0,3.05,month-to-month,fiber,electronic_check,basic,never
0,4.1,69.75,0,3,1,3.43,month-to-month,none,bank_transfer,basic,never
0,23.7,116.32,3,1,0,1.62,one-year,fiber,credit_card,plus,past
1,6.5,92.89,4,1,1,2.4,month-to-month,dsl,credit_card,plus,past
0,47.8,73.24,2,1,0,3.12,one-year,fiber,credit_card,plus,past
0,4.9,138.93,0,1,0,2.21,month-to-month,none,electronic_check,basic,never
0,20.9,54.52,0,0,0,2.42,month-to-month,none,bank_transfer,plus,past
0,12.4,65.31,3,6,0,3.52,month-to-month,fiber,bank_transfer,basic,current
0,39.3,87.21,3,2,0,5.1,two-year,fiber,credit_card,basic,past
0,3.1,88.05,1,6,0,0.43,two-year,none,electronic_check,basic,past
0,13.0,77.4,2,1,0,2.99,month-to-month,fiber,credit_card,premium,past
1,26.6,87.23,2,4,1,2.62,month-to-month,dsl,electronic_check,basic,past
0,18.9,64.53,2,3,0,3.45,month-to-month,fiber,bank_transfer,plus,never
0,9.4,65.2,3,1,0,2.11,month-to-month,dsl,bank_transfer,basic,past
1,20.9,87.02,3,3,1,3.16,two-year,fiber,electronic_check,basic,past
0,28.0,92.51,1,5,3,3.03,month-to-month,dsl,electronic_check,basic,current
0,6.8,85.1,3,4,0,2.73,month-to-month,dsl,credit_card,plus,current
1,1.2,53.29,2,6,1,0.31,month-to-month,dsl,electronic_check,basic,past
0,36.5,91.39,3,2,0,2.53,one-year,fiber,electronic_check,basic,never
0,15.0,72.95,1,3,2,4.66,two-year,fiber,credit_card,premium,past
0,0.6,50.27,2,1,0,0.95,two-year,fiber,electronic_check,basic,never
1,10.0,94.96,1,2,1,1.33,month-to-month,fiber,electronic_check,basic,never
0,72.0,48.02,2,2,1,3.41,one-year,fiber,credit_card,basic,past
0,9.9,69.46,3,4,1,0.99,two-year,dsl,credit_card,basic,never
0,44.5,64.2,1,2,0,0.33,month-to-month,dsl,credit_card,premium,past
0,50.7,64.99,1,0,1,2.29,one-year,dsl,electronic_check,premium,past
0,4.7,50.55,2,3,0,2.93,month-to-month,fiber,electronic_check,basic,never
1,0.4,64.69,2,3,1,2.37,month-to-month,fiber,bank_transfer,basic,never
0,45.3,92.25,2,1,0,4.13,month-to-month,fiber,credit_card,premium,past
0,20.0,38.08,3,3,1,4.61,month-to-month,fiber,credit_card,basic,past
0,8.8,27.14,2,1,0,2.86,month-to-month,fiber,electronic_check,basic,past
0,4.7,88.85,3,4,1,2.28,month-to-month,dsl,credit_card,basic,past
0,6.3,75.69,2,4,0,1.94,month-to-month,fiber,bank_transfer,basic,past
0,6.1,43.73,3,1,1,3.38,one-year,fiber,electronic_check,basic,never
0,34.3,85.72,2,1,0,1.36,one-year,fiber,electronic_check,plus,past
0,4.0,39.39,1,0,1,0.0,one-year,none,electronic_check,plus,past
0,1.4,102.92,1,3,0,0.6,month-to-month,fiber,electronic_check,basic,past
1,0.4,90.28,2,3,1,0.0,month-to-month,dsl,credit_card,basic,past
0,7.5,60.09,2,3,1,2.39,month-to-month,fiber,electronic_check,basic,never
0,28.2,48.14,1,2,0,1.1,one-year,none,credit_card,basic,never
0,12.2,47.58,3,4,0,1.95,one-year,dsl,credit_card,basic,current
0,7.5,94.55,2,1,0,1.92,month-to-month,fiber,electronic_check,basic,current
0,22.8,44.59,4,2,2,1.11,two-year,dsl,electronic_check,plus,past
0,0.4,60.58,2,2,0,3.09,month-to-month,dsl,electronic_check,basic,past
0,23.8,61.02,2,1,0,0.73,month-to-month,dsl,electronic_check,basic,never
0,16.1,14.32,3,3,0,1.37,one-year,dsl,bank_transfer,basic,current
0,1.1,73.06,1,3,1,0.6,month-to-month,fiber,electronic_check,basic,past
0,4.9,83.01,2,3,0,2.71,one-year,dsl,electronic_check,basic,current
0,0.8,81.55,1,0,2,3.16,month-to-month,dsl,bank_transfer,plus,never
0,0.8,63.55,2,2,0,0.99,month-to-month,fiber,electronic_check,basic,current
0,1.0,57.19,1,3,1,3.95,two-year,dsl,credit_card,basic,never
0,1.1,123.95,3,3,0,0.7,one-year,dsl,electronic_check,basic,past
0,32.5,41.61,3,1,2,0.6,month-to-month,fiber,electronic_check,basic,never
0,22.3,70.93,2,1,2,0.6,two-year,fiber,electronic_check,plus,current
0,33.7,42.36,3,3,0,0.93,month-to-month,fiber,electronic_check,plus,never
0,44.0,61.29,1,5,1,1.92,one-year,dsl,credit_card,basic,never
0,24.8,99.97,2,4,2,2.21,two-year,fiber,electronic_check,basic,never
0,25.2,42.97,0,5,0,1.35,one-year,none,bank_transfer,basic,current
0,16.2,82.25,2,4,0,3.2,month-to-month,fiber,electronic_check,plus,current
0,2.2,58.66,2,2,2,1.44,two-year,dsl,electronic_check,basic,past
0,6.2,89.22,1,2,0,1.67,one-year,none,electronic_check,basic,never
0,26.1,97.45,2,3,1,2.81,month-to-month,dsl,electronic_check,basic,past
0,7.4,41.91,2,1,1,0.58,two-year,dsl,bank_transfer,plus,never
1,0.0,68.24,3,0,1,3.31,month-to-month,fiber,electronic_check,plus,never
0,13.0,77.15,1,1,0,2.11,month-to-month,fiber,electronic_check,plus,past
0,10.4,41.48,2,1,1,2.06,month-to-month,fiber,credit_card,premium,past
0,8.0,48.1,3,3,2,2.55,month-to-month,fiber,electronic_check,basic,never
0,12.4,72.83,2,2,1,2.97,month-to-month,dsl,electronic_check,plus,past
0,8.0,49.92,0,1,1,1.75,month-to-month,none,bank_transfer,basic,never
1,9.0,70.68,2,5,0,3.72,month-to-month,dsl,electronic_check,basic,never
0,2.8,80.83,3,3,0,1.41,month-to-month,dsl,bank_transfer,premium,never
0,7.3,56.15,2,2,0,1.63,month-to-month,dsl,credit_card,basic,past
0,33.8,10.0,2,3,2,2.0,two-year,dsl,credit_card,plus,past
0,27.9,35.75,3,4,2,4.31,month-to-month,none,bank_transfer,basic,past
1,13.3,63.81,2,3,1,3.17,month-to-month,fiber,bank_transfer,premium,never
0,3.2,82.75,2,0,2,5.33,one-year,fiber,bank_transfer,plus,never
0,2.1,65.67,1,2,0,0.14,month-to-month,none,bank_transfer,premium,never
0,9.2,65.17,3,0,1,1.73,month-to-month,fiber,electronic_check,premium,never
0,6.0,11.45,0,3,2,0.0,month-to-month,none,electronic_check,basic,past
1,3.8,66.37,2,2,1,0.6,month-to-month,fiber,credit_card,basic,never
0,13.9,88.0,1,1,0,1.84,month-to-month,none,credit_card,basic,never
0,27.9,95.79,2,2,0,0.76,one-year,dsl,credit_card,basic,never
1,2.2,103.41,2,2,1,3.91,month-to-month,fiber,electronic_check,basic,past
0,21.9,29.56,1,2,1,3.69,month-to-month,dsl,bank_transfer,basic,never
0,13.7,84.44,2,2,0,3.51,month-to-month,fiber,electronic_check,basic,never
0,0.5,65.86,2,2,1,1.25,month-to-month,dsl,credit_card,plus,past
0,9.0,50.46,1,1,0,3.16,month-to-month,dsl,electronic_check,basic,current
0,25.7,116.32,3,3,0,3.92,two-year,fiber,credit_card,plus,past
